graph_idx,graph_seed,M,mean_degree,beta_best,curve_mse,curve_l1_area,curve_max_abs
0,123456,2958,5.916,0.456,6.554525621890514e-05,0.06537999999999837,0.01635999999999993
1,223456,3010,6.02,0.4835,0.0017640232980099513,0.26960099999999754,0.09776500000000005
2,323456,3053,6.106,0.4415,0.0001733769833333345,0.08644499999999974,0.0324650000000013
3,423456,2961,5.922,0.4315,0.00021647467475124487,0.11544674999999992,0.025045000000000095
4,523456,3084,6.168,0.442,7.609999925373113e-05,0.07498149999999995,0.017379999999999507
5,623456,2990,5.98,0.42300000000000004,0.0007048564355721391,0.16921249999999916,0.06837000000000026
6,723456,3008,6.016,0.42050000000000004,0.00133875848097015,0.24547925000000045,0.07691499999999951
7,823456,2995,5.99,0.4415,0.00014885879427860838,0.08457850000000078,0.03154999999999991
8,923456,3065,6.13,0.42250000000000004,0.000499724752238806,0.1310389999999993,0.05919999999999981
9,1023456,3003,6.006,0.4665,0.00043831318059701495,0.1449604999999979,0.05051999999999984
